ID,FHL_DICT_Numeric,PFS_Numeric,PFS_Unicode,Hakfa_IPA,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
19477,than3-kiok,than2-kiok6,thàn-kiok,[tʰan˩˩] [kiok̚˨],壇腳,,,,
19478,than3-kiung5,than2-kiung1,thàn-kiûng,[tʰan˩˩] [kiuŋ˨˦],彈弓,,,,
19479,than3-mien,than2-mien4,thàn-mien,[tʰan˩˩] [mien˥˥],壇面,,,,
19480,than3-sak8,than2-sak5,thàn-sa̍k,[tʰan˩˩] [sak̚˥],彈石,,,,
19481,than3-sien,than2-sien4,thàn-sien,[tʰan˩˩] [ɕien˥˥],彈線,,,,
19482,than3-sit,than2-sit6,thàn-sit,[tʰan˩˩] [ɕit̚˨],彈瑟,,,,
19483,than3-song,than2-song4,thàn-song,[tʰan˩˩] [soŋ˥˥],壇上,,,,
19484,than3-sun3,than2-sun2,thàn-sùn,[tʰan˩˩] [sun˩˩],壇sun3,,,,
19485,than3-tai2,than2-tai3,thàn-tái,[tʰan˩˩] [tai˧˩],壇底,,,,
19486,than3-tang2,than2-tang3,thàn-táng,[tʰan˩˩] [taŋ˧˩],壇頂,,,,
19487,than3-to,than2-to4,thàn-to,[tʰan˩˩] [to˥˥],彈到,,,,
19488,than3,than2,thàn,[tʰan˩˩],彈,,,,
19489,than3,than2,thàn,[tʰan˩˩],壇,,,,
19490,then3-e2,then2-e3,thèn-é,[tʰen˩˩] [e˧˩],藤仔,,,,
19491,then3-chhiung3,then2-chhiung2,thèn-chhiùng,[tʰen˩˩] [tɕʰiuŋ˩˩],跈從,,,,
19492,then3-hi,then2-hi4,thèn-hi,[tʰen˩˩] [hi˥˥],跈去,,,,
19493,then3-hong,then2-hong4,thèn-hong,[tʰen˩˩] [hoŋ˥˥],藤項,,,,
19494,then3-ko,then2-ko4,thèn-ko,[tʰen˩˩] [ko˥˥],跈過,,,,
19495,then3-loi3,then2-loi2,thèn-lòi,[tʰen˩˩] [loi˩˩],跈來,,,,
19496,then3-ngin3,then2-ngin2,thèn-ngìn,[tʰen˩˩] [ɲin˩˩],跈人,,,,
19497,then3-phai3,then2-phai2,thèn-phài,[tʰen˩˩] [pʰai˩˩],籐牌,,,,
19498,then3-ten2,then2-ten3,thèn-tén,[tʰen˩˩] [ten˧˩],跈著,,,,
19499,then3-thiau3,then2-thiau2,thèn-thiàu,[tʰen˩˩] [tʰiau˩˩],藤條,,,,
19500,then3-to,then2-to4,thèn-to,[tʰen˩˩] [to˥˥],跈到,,,,
19501,then3-yap8,then2-yap5,thèn-ya̍p,[tʰen˩˩] [yap̚˥],藤葉,,,,
19502,then3-yong,then2-yong4,thèn-yong,[tʰen˩˩] [yoŋ˥˥],跈樣,,,,
19503,then3,then2,thèn,[tʰen˩˩],跈,,,,
19504,then3,then2,thèn,[tʰen˩˩],藤,,,,
19505,theu3-chhien3,theu2-chhien2,thèu-chhièn,[tʰeu˩˩] [tɕʰien˩˩],頭前,,,,
19506,theu3-chhiin,theu2-chhiin4,thèu-chhṳn,[tʰeu˩˩] [tsʰɨn˥˥],頭陣,,,,
